Schools,Hospitals,Restaurants,Shopping Malls,Parks,Theaters,Banks,Supermarkets,Metro Stations,Pharmacies,Gyms,Libraries,ATMs,Pet Stores,Electronics Stores,Toy Stores,Bookstores,Hardware Stores,Gas Stations,Hotels,Area,Cluster,Price,amenities
5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,Thakur village,1,8000000,Good
4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Aarey Milk Colony,1,8000000,Good
3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Patel Wadi,2,10000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Anushakti Nagar,1,8000000,Good
3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Motilal Nagar,3,20000000,Best
3.0,3.0,25.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,25.0,5.0,Mahatma Jyotiba Phule Nagar,4,30000000,Best
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Manuel Gonsalves Road,0,5000000,Low
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Saint Cyril Road,0,5000000,Low
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Guru Nanak Road,3,20000000,Best
3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,Nana Chowk,2,10000000,Best
4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,Kurla Depot,1,8000000,Good
